first,last,age,state,weight
Earl,Myrick,36,Iowa,208.0
Vikki,Gallegos,31,Iowa,187.0
Edwina,Garcia,53,Arizona,170.0
Martha,Hudgins,31,Utah,227.0
Danny,Wilson,55,Iowa,205.0
Beverly,Skinner,67,Missouri,233.0
Ofelia,Williams,82,New Mexico,192.0
Barbara,Sale,35,Virginia,170.0
Clinton,Turner,66,Georgia,208.0
Judy,Gramm,51,West Virginia,217.0
Louise,Magana,19,Virginia,174.0
John,Rosales,55,Minnesota,165.0
Christine,Ware,32,Washington,191.0
Lois,Ford,29,Vermont,189.0
Joyce,Sites,64,Texas,211.0
Dan,Stone,40,Arizona,193.0
Rosie,Doe,52,New York,222.0
James,Williams,55,Virginia,208.0
Henry,Silmon,77,Oregon,227.0
Shawn,Anzalone,82,Colorado,243.0
Kitty,Ford,38,Texas,211.0
Thomas,Brustmann,77,North Dakota,174.0
Edward,Barbe,56,New Jersey,207.0
Holly,Britten,70,Delaware,195.0
Nick,Kittleson,58,West Virginia,239.0
Gloria,Boykin,20,Massachusetts,176.0
Richard,Cantu,44,Oklahoma,184.0
Olivia,Watts,34,Arizona,166.0
James,Almanza,61,Alaska,211.0
William,Campbell,83,Maine,226.0
Stella,Hensley,33,Georgia,182.0
Abigail,Sikorski,31,Idaho,180.0
Terrance,Bristol,42,New Jersey,179.0
Bryant,Watson,90,Maryland,172.0
Danny,Boatwright,70,Arkansas,240.0
Jennifer,Marien,30,Mississippi,176.0
Daryl,Mack,82,New Mexico,164.0
Beatrice,Bailey,20,Louisiana,229.0
Lewis,Barraza,22,Wisconsin,242.0
Amy,Cates,52,New Mexico,216.0
Bethany,Blanton,51,Maryland,211.0
Carlos,Guy,42,Texas,224.0
Dawn,Reyes,48,South Carolina,222.0
Ethel,Mckay,69,Tennessee,229.0
Arthur,Miller,87,Kentucky,168.0
Rosemary,Cox,44,California,231.0
Doris,Issacs,70,Nevada,196.0
Patsy,Willie,48,Indiana,215.0
Curtis,Sparks,56,Colorado,186.0
George,Rowell,69,New Hampshire,199.0
Jenni,Donahue,77,Florida,207.0
Herbert,Tellis,73,Vermont,190.0
Curtis,Woodson,66,Kentucky,168.0
Allison,Rodriguez,40,New Jersey,233.0
Julie,Kain,48,Florida,198.0
Carole,Davis,67,West Virginia,237.0
John,Arbogast,22,Massachusetts,209.0
Barbara,Kirklin,56,South Dakota,203.0
Glenda,Middleton,33,South Dakota,161.0
David,Alfonso,28,Virginia,235.0
Mary,Pruitt,76,Wyoming,179.0
Lorraine,Thompson,78,Arkansas,229.0
Dallas,Conrad,22,Arizona,164.0
Samantha,Rice,35,New York,190.0
Michael,Mestler,84,New Hampshire,239.0
Marcos,Mcmahon,57,New Jersey,184.0
Adam,Israel,80,Vermont,167.0
Alice,Garcia,46,Alaska,224.0
Alice,Smith,90,Wyoming,218.0
Shaun,Elie,46,Tennessee,179.0
Thomas,Andrews,60,Minnesota,164.0
Julia,Wilbanks,86,Alabama,209.0
Jane,George,92,Alaska,207.0
Wayne,Gonzales,90,Arizona,201.0
Andrea,Hines,51,Colorado,187.0
Miranda,Mclamb,64,West Virginia,210.0
Guy,Upson,57,Michigan,164.0
Lyndsay,Rollins,51,Maryland,181.0
Scott,Sheets,79,New Jersey,184.0
Desiree,Cesena,31,Iowa,221.0
Steve,Beasley,49,Virginia,238.0
Kala,Boynton,52,Kentucky,206.0
John,Dejulio,70,Washington,209.0
Patricia,Trammel,48,Maine,199.0
Jessica,Maloch,38,Vermont,211.0
Karen,Mcfarland,50,South Dakota,227.0
Annie,Comnick,34,Idaho,224.0
Brian,Mikrot,58,Maine,213.0
Son,Mcgranahan,77,Louisiana,179.0
Phillip,Wallace,74,Maryland,224.0
Martin,Caywood,89,Ohio,161.0
Oscar,Chrostowski,43,Oklahoma,229.0
Richard,Harris,64,South Carolina,231.0
John,Patterson,57,Kentucky,209.0
Edith,Thompson,22,Louisiana,217.0
Susan,Hedrington,27,Idaho,233.0
Claude,Corey,54,Florida,190.0
Michael,Mathis,54,New Mexico,239.0
Scott,Edmundson,47,South Dakota,230.0
Herman,Groulx,55,Washington,228.0
Joan,Villalobas,93,Vermont,186.0
Yolanda,Walker,70,Illinois,194.0
Kimberly,Hall,63,Delaware,207.0
Jeanne,Perez,86,Nebraska,223.0
Christina,Howell,26,North Dakota,169.0
Evelyn,Bowles,85,Texas,238.0
James,Osorno,34,Idaho,191.0
Archie,Madden,55,Florida,212.0
Gustavo,Peralta,31,Ohio,241.0
Michelle,Smithson,84,New Mexico,237.0
Angela,Jones,25,California,170.0
William,Mullins,92,Montana,216.0
Ellen,Knox,19,Pennsylvania,200.0
Eric,Dulle,75,Utah,188.0
Tracy,Costley,40,Louisiana,179.0
Roy,Patterson,39,Wisconsin,201.0
Rodney,Amelung,71,Pennsylvania,194.0
Bradley,Clark,82,Oklahoma,190.0
Alvin,Stavrositu,74,Oregon,238.0
Charles,Thiele,40,Iowa,222.0
Charles,Grace,79,Idaho,189.0
Kathy,Hays,41,Rhode Island,190.0
Ethel,Jackson,90,New Hampshire,186.0
Mildred,White,49,Delaware,186.0
Frank,Clark,35,Wisconsin,199.0
Ann,Shaefer,30,Nevada,168.0
Janet,Long,23,West Virginia,202.0
Judy,Curtis,83,Arkansas,180.0
Laura,Stoner,37,Florida,210.0
Sherwood,Norman,64,Maryland,221.0
David,Shannon,57,California,242.0
Clinton,Pena,60,Connecticut,188.0
Robert,Pierce,92,Arizona,239.0
Robert,Bolen,20,Vermont,200.0
Rachel,Sanchez,52,Wisconsin,174.0
Michael,Alexander,57,New Jersey,198.0
Travis,Meader,39,Indiana,184.0
Hester,Sales,92,Florida,235.0
Jesse,Miller,50,Iowa,179.0
Roseann,Mcilhinney,78,Wyoming,235.0
Vanessa,Gorman,71,Virginia,173.0
Glenna,Magee,81,Kansas,204.0
Laura,Toole,59,Wisconsin,213.0
Matthew,Privitera,20,New Hampshire,166.0
Wayne,Brundage,90,Missouri,188.0
Robert,Smith,21,North Carolina,241.0
Lori,Mccammon,36,Wisconsin,229.0
Alison,Johnson,86,South Dakota,236.0
Brenda,Serrano,22,Indiana,175.0
Lucie,Button,26,Connecticut,176.0
Michael,Caudill,76,Maine,199.0
Yesenia,Rollins,59,Louisiana,194.0
Howard,Sanchez,25,Massachusetts,214.0
Anthony,Miles,83,Montana,212.0
Elizabeth,Lewis,93,Kentucky,182.0
Susan,Sheehan,68,South Dakota,231.0
Bill,Goldsmith,43,New York,205.0
Zachary,Brown,26,Texas,242.0
Marilyn,Brown,77,Nebraska,177.0
Lisa,Jackson,60,New Hampshire,230.0
David,Salmon,71,Hawaii,199.0
Gregory,Miller,38,Florida,227.0
Clifford,Henkel,81,New Mexico,225.0
Heriberto,Washam,81,Utah,239.0
Erica,Winchester,90,Kentucky,197.0
Katelyn,Delgado,87,Arkansas,179.0
Charles,Pittman,61,Delaware,243.0
Jessica,Clark,86,Utah,243.0
Jean,Blair,33,New Hampshire,211.0
Kelly,Kuhls,50,Colorado,184.0
Marvin,Hodge,57,Mississippi,167.0
Margaret,Williams,73,Missouri,210.0
Wm,Reither,28,Georgia,236.0
Richard,Smith,28,Illinois,192.0
Patrick,Mills,60,Connecticut,215.0
Robert,Ruvalcaba,40,Nebraska,194.0
Billy,Cooke,52,Alaska,197.0
Jill,Mccary,77,New Hampshire,186.0
Claire,Juarez,81,Alabama,170.0
Frederick,Rilley,65,Vermont,179.0
Nannie,Deibert,61,Oklahoma,238.0
Bernice,Bentley,35,Rhode Island,162.0
Marian,Pearce,25,Montana,178.0
Allen,Haas,87,Maryland,180.0
Santos,Lawson,41,Hawaii,208.0
Sara,Robinson,46,Connecticut,187.0
Sheryl,Ferguson,21,Indiana,188.0
Kathryn,Joubert,44,Missouri,240.0
Samuel,Aspinall,59,Montana,184.0
Miss,Martinez,30,Minnesota,214.0
Victor,Hill,86,Colorado,220.0
Violet,Holmes,30,West Virginia,176.0
Alexander,Horrell,62,Michigan,208.0
Henrietta,Williams,54,Georgia,194.0
Margarita,Paulsen,72,Maine,201.0
Peggy,Mitchell,69,Minnesota,208.0
Corey,Daniel,72,Maryland,237.0
Deborah,Whittmore,37,Maryland,198.0
Christian,Treto,50,New Hampshire,164.0
John,Bayard,89,Nevada,204.0
Beatrice,Wiebe,86,South Carolina,177.0
Stephen,Hodo,32,Iowa,183.0
Charles,Hall,90,Virginia,220.0
Gerald,Williams,83,New Jersey,200.0
Harold,Ferris,56,Mississippi,185.0
Thomas,Hale,30,Michigan,185.0
Graham,Whiteman,93,North Dakota,203.0
Bernard,Copeland,29,Tennessee,242.0
Ben,Stutzman,45,Kentucky,174.0
Lucille,Tippin,82,Michigan,167.0
Ryan,Phelps,67,North Carolina,214.0
Frank,Crow,36,Missouri,184.0
Vida,Medrano,88,Arizona,161.0
Laura,Aitken,47,Maryland,228.0
Geri,Addiego,29,Montana,188.0
Robert,Mayoras,27,New York,170.0
James,Seiberling,65,Wyoming,179.0
John,Williams,85,Oklahoma,170.0
Cathy,Tardif,89,Illinois,207.0
Janene,Fields,67,Virginia,217.0
Robert,Mittman,88,Massachusetts,191.0
Marilyn,Jones,30,Kansas,220.0
Sophia,Estep,93,Virginia,222.0
Marie,Stcharles,76,Rhode Island,204.0
Michael,Owens,24,Connecticut,188.0
Savannah,Stevens,89,Oklahoma,174.0
Mary,Swindell,44,Louisiana,240.0
Jennifer,Estey,72,Connecticut,197.0
Barbara,Johnson,32,South Carolina,243.0
Catherine,Lovett,47,New Mexico,206.0
Christian,Grant,40,Wisconsin,183.0
Antonio,Bluhm,28,Georgia,226.0
Nancy,Mckeller,49,Alaska,180.0
Larry,Cass,49,Kansas,165.0
Dan,Scott,93,Wyoming,226.0
Nicolette,Young,53,Maryland,163.0
